ID,tactics
T1499.004,Impact
T1499.001,Impact
T1499.002,Impact
T1611,PrivilegeEscalation
T1585,ResourceDevelopment
T1585.002,ResourceDevelopment
T1585.001,ResourceDevelopment
T1546,"Persistence,PrivilegeEscalation"
T1546.008,"Persistence,PrivilegeEscalation"
T1546.009,"Persistence,PrivilegeEscalation"
T1546.010,"Persistence,PrivilegeEscalation"
T1546.011,"Persistence,PrivilegeEscalation"
T1546.001,"Persistence,PrivilegeEscalation"
T1546.015,"Persistence,PrivilegeEscalation"
T1546.014,"Persistence,PrivilegeEscalation"
T1546.012,"Persistence,PrivilegeEscalation"
T1546.006,"Persistence,PrivilegeEscalation"
T1546.007,"Persistence,PrivilegeEscalation"
T1546.013,"Persistence,PrivilegeEscalation"
T1546.002,"Persistence,PrivilegeEscalation"
T1546.005,"Persistence,PrivilegeEscalation"
T1546.004,"Persistence,PrivilegeEscalation"
T1546.003,"Persistence,PrivilegeEscalation"
T1480,DefenseEvasion
T1480.001,DefenseEvasion
T1048,Exfiltration
T1048.002,Exfiltration
T1048.001,Exfiltration
T1048.003,Exfiltration
T1041,Exfiltration
T1011,Exfiltration
T1011.001,Exfiltration
T1052,Exfiltration
T1052.001,Exfiltration
T1567,Exfiltration
T1567.002,Exfiltration
T1567.001,Exfiltration
T1190,InitialAccess
T1203,Execution
T1212,CredentialAccess
T1211,DefenseEvasion
T1068,PrivilegeEscalation
T1210,LateralMovement
T1133,"InitialAccess,Persistence"
T1008,CommandandControl
T1083,Discovery
T1222,DefenseEvasion
T1222.002,DefenseEvasion
T1222.001,DefenseEvasion
T1495,Impact
T1187,CredentialAccess
T1606,CredentialAccess
T1606.002,CredentialAccess
T1606.001,CredentialAccess
T1592,Reconnaissance
T1592.004,Reconnaissance
T1592.003,Reconnaissance
T1592.001,Reconnaissance
T1592.002,Reconnaissance
T1589,Reconnaissance
T1589.001,Reconnaissance
T1589.002,Reconnaissance
T1589.003,Reconnaissance
T1590,Reconnaissance
T1590.002,Reconnaissance
T1590.001,Reconnaissance
T1590.005,Reconnaissance
T1590.006,Reconnaissance
T1590.004,Reconnaissance
T1590.003,Reconnaissance
T1591,Reconnaissance
T1591.002,Reconnaissance
T1591.001,Reconnaissance
T1591.003,Reconnaissance
T1591.004,Reconnaissance
T1615,Discovery
T1200,InitialAccess
T1564,DefenseEvasion
T1564.008,DefenseEvasion
T1564.005,DefenseEvasion
T1564.001,DefenseEvasion
T1564.002,DefenseEvasion
T1564.003,DefenseEvasion
T1564.004,DefenseEvasion
T1564.010,DefenseEvasion
T1564.009,DefenseEvasion
T1564.006,DefenseEvasion
T1564.007,DefenseEvasion
T1574,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.012,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.001,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.002,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.004,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.006,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.005,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.013,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.007,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.008,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.009,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.010,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1574.011,"DefenseEvasion,Persistence,PrivilegeEscalation"
T1562,DefenseEvasion
T1562.008,DefenseEvasion
T1562.002,DefenseEvasion
T1562.007,DefenseEvasion
T1562.004,DefenseEvasion
T1562.001,DefenseEvasion
T1562.010,DefenseEvasion
T1562.003,DefenseEvasion
T1562.006,DefenseEvasion
T1562.009,DefenseEvasion
T1525,Persistence
T1070,DefenseEvasion
T1070.003,DefenseEvasion
T1070.002,DefenseEvasion
T1070.001,DefenseEvasion
T1070.004,DefenseEvasion
T1070.005,DefenseEvasion
T1070.006,DefenseEvasion
T1202,DefenseEvasion
T1105,CommandandControl
T1490,Impact
T1056,"Collection,CredentialAccess"
T1056.004,"Collection,CredentialAccess"
T1056.002,"Collection,CredentialAccess"
T1056.001,"Collection,CredentialAccess"
T1056.003,"Collection,CredentialAccess"
T1559,Execution
T1559.001,Execution
T1559.002,Execution
T1559.003,Execution
T1534,LateralMovement
T1570,LateralMovement
T1036,DefenseEvasion
T1036.007,DefenseEvasion
T1036.001,DefenseEvasion
T1036.004,DefenseEvasion
T1036.005,DefenseEvasion
T1036.003,DefenseEvasion
T1036.002,DefenseEvasion
T1036.006,DefenseEvasion
T1556,"CredentialAccess,DefenseEvasion,Persistence"
T1556.001,"CredentialAccess,DefenseEvasion,Persistence"
T1556.004,"CredentialAccess,DefenseEvasion,Persistence"
T1556.002,"CredentialAccess,DefenseEvasion,Persistence"
T1556.003,"CredentialAccess,DefenseEvasion,Persistence"
T1556.005,"CredentialAccess,DefenseEvasion,Persistence"
T1578,DefenseEvasion
T1578.002,DefenseEvasion
T1578.001,DefenseEvasion
T1578.003,DefenseEvasion
T1578.004,DefenseEvasion
T1112,DefenseEvasion
T1601,DefenseEvasion
T1601.002,DefenseEvasion
T1601.001,DefenseEvasion
T1111,CredentialAccess
T1621,CredentialAccess
T1104,CommandandControl
T1106,Execution
T1599,DefenseEvasion
T1599.001,DefenseEvasion
T1498,Impact
T1498.001,Impact
T1498.002,Impact
T1046,Discovery
T1135,Discovery
T1040,"CredentialAccess,Discovery"
T1095,CommandandControl
T1571,CommandandControl
T1003,CredentialAccess
T1003.008,CredentialAccess
T1003.005,CredentialAccess
T1003.006,CredentialAccess
T1003.004,CredentialAccess
T1003.001,CredentialAccess
T1003.003,CredentialAccess
T1003.007,CredentialAccess
T1003.002,CredentialAccess
T1027,DefenseEvasion
T1027.001,DefenseEvasion
T1027.004,DefenseEvasion
T1027.006,DefenseEvasion
T1027.005,DefenseEvasion
T1027.002,DefenseEvasion
T1027.003,DefenseEvasion
T1588,ResourceDevelopment
T1588.003,ResourceDevelopment
T1588.004,ResourceDevelopment
T1588.005,ResourceDevelopment
T1588.001,ResourceDevelopment
T1588.002,ResourceDevelopment
T1588.006,ResourceDevelopment
T1137,Persistence
T1137.006,Persistence
T1137.001,Persistence
T1137.002,Persistence
T1137.003,Persistence
T1137.004,Persistence
T1137.005,Persistence
T1201,Discovery
T1120,Discovery
T1069,Discovery
T1069.003,Discovery
T1069.002,Discovery
T1069.001,Discovery
T1566,InitialAccess
T1598,Reconnaissance
T1598.002,Reconnaissance
T1598.003,Reconnaissance
T1598.001,Reconnaissance
T1566.001,InitialAccess
T1566.002,InitialAccess
T1566.003,InitialAccess
T1647,DefenseEvasion
T1542,"DefenseEvasion,Persistence"
T1542.003,"DefenseEvasion,Persistence"
T1542.002,"DefenseEvasion,Persistence"
T1542.004,"DefenseEvasion,Persistence"
T1542.001,"DefenseEvasion,Persistence"
T1542.005,"DefenseEvasion,Persistence"
T1057,Discovery
T1055,"DefenseEvasion,PrivilegeEscalation"
T1055.004,"DefenseEvasion,PrivilegeEscalation"
T1055.001,"DefenseEvasion,PrivilegeEscalation"
T1055.011,"DefenseEvasion,PrivilegeEscalation"
T1055.015,"DefenseEvasion,PrivilegeEscalation"
T1055.002,"DefenseEvasion,PrivilegeEscalation"
T1055.009,"DefenseEvasion,PrivilegeEscalation"
T1055.013,"DefenseEvasion,PrivilegeEscalation"
T1055.012,"DefenseEvasion,PrivilegeEscalation"
T1055.008,"DefenseEvasion,PrivilegeEscalation"
T1055.003,"DefenseEvasion,PrivilegeEscalation"
T1055.005,"DefenseEvasion,PrivilegeEscalation"
T1055.014,"DefenseEvasion,PrivilegeEscalation"
T1572,CommandandControl
T1090,CommandandControl
T1090.004,CommandandControl
T1090.002,CommandandControl
T1090.001,CommandandControl
T1090.003,CommandandControl
T1012,Discovery
T1620,DefenseEvasion
T1219,CommandandControl
T1563,LateralMovement
T1563.002,LateralMovement
T1563.001,LateralMovement
T1021,LateralMovement
T1021.003,LateralMovement
T1021.001,LateralMovement
T1021.002,LateralMovement
T1021.004,LateralMovement
T1021.005,LateralMovement
T1021.006,LateralMovement
T1018,Discovery
T1091,"InitialAccess,LateralMovement"
T1496,Impact
T1207,DefenseEvasion
T1014,DefenseEvasion
T1053,"Execution,Persistence,PrivilegeEscalation"
T1053.002,"Execution,Persistence,PrivilegeEscalation"
T1053.007,"Execution,Persistence,PrivilegeEscalation"
T1053.003,"Execution,Persistence,PrivilegeEscalation"
T1053.005,"Execution,Persistence,PrivilegeEscalation"
T1053.006,"Execution,Persistence,PrivilegeEscalation"
T1029,Exfiltration
T1113,Collection
T1597,Reconnaissance
T1597.002,Reconnaissance
T1597.001,Reconnaissance
T1596,Reconnaissance
T1596.004,Reconnaissance
T1596.001,Reconnaissance
T1596.003,Reconnaissance
T1596.005,Reconnaissance
T1596.002,Reconnaissance
T1593,Reconnaissance
T1593.002,Reconnaissance
T1593.001,Reconnaissance
T1594,Reconnaissance
T1505,Persistence
T1505.004,Persistence
T1505.001,Persistence
T1505.005,Persistence
T1505.002,Persistence
T1505.003,Persistence
T1489,Impact
T1129,Execution
T1072,"Execution,LateralMovement"
T1518,Discovery
T1518.001,Discovery
T1608,ResourceDevelopment
T1608.004,ResourceDevelopment
T1608.003,ResourceDevelopment
T1608.005,ResourceDevelopment
T1608.001,ResourceDevelopment
T1608.002,ResourceDevelopment
T1528,CredentialAccess
T1539,CredentialAccess
T1558,CredentialAccess
T1558.004,CredentialAccess
T1558.001,CredentialAccess
T1558.003,CredentialAccess
T1558.002,CredentialAccess
T1553,DefenseEvasion
T1553.002,DefenseEvasion
T1553.006,DefenseEvasion
T1553.001,DefenseEvasion
T1553.004,DefenseEvasion
T1553.005,DefenseEvasion
T1553.003,DefenseEvasion
T1195,InitialAccess
T1195.003,InitialAccess
T1195.001,InitialAccess
T1195.002,InitialAccess
T1218,DefenseEvasion
T1218.003,DefenseEvasion
T1218.001,DefenseEvasion
T1218.002,DefenseEvasion
T1218.004,DefenseEvasion
T1218.014,DefenseEvasion
T1218.013,DefenseEvasion
T1218.005,DefenseEvasion
T1218.007,DefenseEvasion
T1218.008,DefenseEvasion
T1218.009,DefenseEvasion
T1218.010,DefenseEvasion
T1218.011,DefenseEvasion
T1218.012,DefenseEvasion
T1082,Discovery
T1614,Discovery
T1614.001,Discovery
T1016,Discovery
T1016.001,Discovery
T1049,Discovery
T1033,Discovery
T1216,DefenseEvasion
T1216.001,DefenseEvasion
T1007,Discovery
T1569,Execution
T1569.001,Execution
T1569.002,Execution
T1529,Impact
T1124,Discovery
T1080,LateralMovement
T1221,DefenseEvasion
T1205,"CommandandControl,DefenseEvasion,Persistence"
T1205.001,"CommandandControl,DefenseEvasion,Persistence"
T1537,Exfiltration
T1127,DefenseEvasion
T1127.001,DefenseEvasion
T1199,InitialAccess
T1552,CredentialAccess
T1552.003,CredentialAccess
T1552.005,CredentialAccess
T1552.007,CredentialAccess
T1552.001,CredentialAccess
T1552.002,CredentialAccess
T1552.006,CredentialAccess
T1552.004,CredentialAccess
T1535,DefenseEvasion
T1550,"DefenseEvasion,LateralMovement"
T1550.001,"DefenseEvasion,LateralMovement"
T1550.002,"DefenseEvasion,LateralMovement"
T1550.003,"DefenseEvasion,LateralMovement"
T1550.004,"DefenseEvasion,LateralMovement"
T1204,Execution
T1204.002,Execution
T1204.003,Execution
T1204.001,Execution
T1078,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1078.004,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1078.001,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1078.002,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1078.003,"DefenseEvasion,InitialAccess,Persistence,PrivilegeEscalation"
T1125,Collection
T1497,"DefenseEvasion,Discovery"
T1497.001,"DefenseEvasion,Discovery"
T1497.003,"DefenseEvasion,Discovery"
T1497.002,"DefenseEvasion,Discovery"
T1600,DefenseEvasion
T1600.002,DefenseEvasion
T1600.001,DefenseEvasion
T1102,CommandandControl
T1102.002,CommandandControl
T1102.001,CommandandControl
T1102.003,CommandandControl
T1047,Execution
T1220,DefenseEvasion
